2019-10-14 22:50:09,502 WARN  [main] util.NativeCodeLoader (NativeCodeLoader.java:<clinit>(60)) - Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
"01A","Afognak Lake Airport","Afognak Lake","AK",,,
"03A","Bear Creek Mining Strip","Granite Mountain","AK",,,
"04A","Lik Mining Camp","Lik","AK",,,
"05A","Little Squaw Airport","Little Squaw","AK",,,
"06A","Kizhuyak Bay","Kizhuyak","AK",,,
"07A","Klawock Seaplane Base","Klawock","AK",,,
"08A","Elizabeth Island Airport","Elizabeth Island","AK",,,
"09A","Augustin Island","Homer","AK",,,
"1B1","Columbia County","Hudson","NY",,,
"1CA","Rio Vista Municipal","Rio Vista","CA",,,
"1G4","Grand Canyon West","Peach Springs","AZ",,,
"1GA","Henry County","Hampton","GA",,,
"1N7","Blairstown Airport","Blairstown","NJ",,,
"1NC","Halifax Northampton Regional","Roanoke Rapids","NC",,,
"1NY","Penn Yan Airport","Penn Yan","NY",,,
"1TN","Beech River Regional","Lexington Parsons","TN",,,
"1TX","Moore County","Dumas","TX",,,
"2CA","Delano Municipal","Delano","CA",,,
"2GA","Camilla Mitchell County","Camilla","GA",,,
"2NY","Sands Point Seaplane Base","Port Washington","NY",,,
"3NY","Sebonac","Suffolk","NY",,,
"6B0","Middlebury State","Middlebury","VT",,,
"7AK","Akun Airport","Akun","AK",,,
"8F3","Crosbyton Municipal","Crosbyton","TX",,,
"A01","Blair Lake","Fairbanks/Ft. Wainwright","AK",,,
"A02","Deadmans Bay Airport","Deadmans Bay","AK",,,
"A03","Hallo Bay Airport","Hallo Bay","AK",,,
"A04","Red Lake Airport","Red Lake","AK",,,
"A05","Shell Lake Airport","Shell Lake","AK",,,
"A06","Navigator Airstrip","Kougarok","AK",,,
"A07","Roland Norton Memorial","Selawik","AK",,,
"A08","Pillar Bay Airport","Pillar Bay","AK",,,
"A09","Johnstone Point Airport","Johnstone Point","AK",,,
"A11","Bell Creek Airport","Bell Creek","AK",,,
"A12","Cinnabar Airport","Cinnabar","AK",,,
"A13","Mountaintop Mine Airport","Mountaintop Mine","AK",,,
"A14","Whitebear Airport","Whitebear","AK",,,
"A15","Puviaq Airport","Puviaq","AK",,,
"A16","Arley Lake Airport","Arley Lake","AK",,,
"A17","Port Vita Airport","Port Vita","AK",,,
"A18","Kantishna Airport","Kantishna","AK",,,
"A1K","Point Thomson Airstrip","Deadhorse1","AK",,,
"A1L","Cullman Regional Folsom Field","Cullman","AL",,,
"A20","Alpine Airstrip","Alpine","AK",,,
"A21","Serpentine Airport","Serpentine","AK",,,
"A22","Driftwood Bay Airport","Driftwood Bay","AK",,,
"A23","Bradley Lake Airport","Bradley Lake","AK",,,
"A24","Chilkat Lake Airport","Chilkat Lake","AK",,,
"A25","Nugget Creek Airport","Nugget Creek","AK",,,
"A26","Ivotuk Airstrip","Ivotuk","AK",,,
"A27","Pogo Mines Airport","Pogo Mines","AK",,,
"A28","Ayakulik River Airport","Ayakulik River","AK",,,
"A29","Kiluda Bay Airport","Kiluda Bay","AK",,,
"A2K","Bartletts Airport","Bartletts","AK",,,
"A2L","Isbell Field","Fort Payne","AL",,,
"A30","Terror Lake Airport","Terror Lake","AK",,,
"A31","Selief Bay Airport","Selief Bay","AK",,,
"A34","Laura Lake Airport","Laura Lake","AK",,,
"A35","Bullen Point AFS","Kaktovik","AK",,,
"A36","Deep Bay Airport","Deep Bay","AK",,,
"A37","Kako Airport","Kako","AK",,,
"A38","Molly Creek Airport","Molly Creek","AK",,,
"A39","Ptarmigan Lake Airport","Ptarmigan Lake","AK",,,
"A3K","Smith Bay Airport","Smith Bay","AK",,,
"A40","Cape Simpson Airport","Cape Simpson","AK",,,
"A41","Kogru River Airport","Kogru River","AK",,,
"A42","Teshepkuk Lake Airport","Teshepkuk Lake","AK",,,
"A43","Trident Basin Seaplane Base","Kodiak Island","AK",,,
"A45","Lake Florence Airport","Lake Florence","AK",,,
"A46","Lake Hasselborg Airport","Lake Hasselborg","AK",,,
"A47","Distin Lake Airport","Distin Lake","AK",,,
"A48","Port Hobron Airport","Port Hobron","AK",,,
"A49","Mooseville Airstrip Airport","Mooseville Airstrip","AK",,,
"A4K","Dune Lake Airport","Dune Lake","AK",,,
"A50","Big Bay Airport","Big Bay","AK",,,
"A51","Wien Lake Airport","Wien Lake","AK",,,
"A52","Silver Salmon Creek Airport","Silver Salmon Creek","AK",,,
"A53","Blear Lake Airport","Blear Lake","AK",,,
"A54","Cannery Bay Airport","Cannery Bay","AK",,,
"A56","Johnsons Landing","Bear Lake","AK",,,
"A57","International Seafoods Airport","International Seafoods","AK",,,
"A58","Cosna River Airport","Cosna River","AK",,,
"A59","Ivatuk Airport","Ivatuk","AK",,,
"A5K","Paxson Airport","Paxson","AK",,,
"A61","Cape Sarichef Airport","Cape Sarichef","AK",,,
"A62","Taylor Mountain","Taylor Mountain Mine","AK",,,
"A63","Coal Creek","Yukon Charley Rivvers","AK",,,
"A65","Karluk Portage Airport","Karluk Portage","AK",,,
"A66","Hope Airport","Hope","AK",,,
"A67","Viekoda Bay Airport","Viekoda Bay","AK",,,
"A69","Cathedral Strip","Cold Bay","AK",,,
"A6K","Van Curlers Sandbar","Fairbanks1","AK",,,
"A70","Village Islands Airport","Village Islands","AK",,,
"A71","Bear Cove Farm","Homer","AK",,,
"A72","Chinitna Bay Airport","Chinitna Bay","AK",,,
"A73","McKinley National Park","McKinley Park","AK",,,
"A74","Dog Fish Bay","Nanwalek","AK",,,
"A75","Malina Bay Airport","Malina Bay","AK",,,
"A76","Red Fox Bay Airport","Red Fox Bay","AK",,,
"A77","Shearwater Airport","Shearwater","AK",,,
"A78","Lake","Cape Simpson","AK",,,
"A79","Cape Simpson No. 1","Cape Simpson","AK",,,
"A7K","Nakochna Airport","Nakochna","AK",,,
"A80","Cape Simpson No. 7","Cape Simpson","AK",,,
"A81","Cape Simpson #1","Aglaq","AK",,,
"A82","Nikiski Private Airstrip","Nikiski","AK",,,
"A83","Petrof Point Airport","Petrof Point","AK",,,
"A84","Denali West Lodge Private","Denali","AK",,,
"A85","Big River Airport","Big River","AK",,,
"A87","Carry Inlet Airport","Carry Inlet","AK",,,
"A89","Montague Island Airport","Montague Island","AK",,,
"A90","Shannon Pond Airport","Shannon Pond","AK",,,
"A91","Omalik Lagoon Airport","Omalik Lagoon","AK",,,
"A92","Omolik Lagoon Airport","Omolik Lagoon","AK",,,
"A93","Bradley Lake Project Airport","Bradley Lake Project","AK",,,
"A94","Ice Strip","Barrow","AK",,,
"A95","Ice Strip","Barrow","AK",,,
"A96","Ice Strip","Barrow","AK",,,
"A97","Akulik Air Strip","Akulik","AK",,,
"A98","Deadfall Air Strip","Deadfall","AK",,,
"A99","Eagle Creek Airport","Eagle Creek","AK",,,
"AA1","Ice Kong","Bethel","AK",,,
"AA2","Icicle Seafoods","Naknek-1","AK",,,
"AA4","Glacier Split","Kachemak Bay","AK",,,
"AA5","Selby Lake Airport","Selby Lake","AK",,,
"AA7","Independence Creek Airport","Independence Creek","AK",,,
"AA8","Badami","Deadhorse","AK",,,
"AA9","Napaimute Pioneer Airfield","Napaimute","AK",,,
"AAA","Anaa Airport","Anaa","French Polynesia",,,
"AAB","Arrabury Station","Arrabury","Australia",,,
"AAC","El Arish International","El Arish","Egypt",,,
"AAD","Ad-Dabbah Airport","Ad-Dabbah","Sudan",,,
"AAE","Rabah Bitat","Annaba","Algeria",,,
"AAF","Apalachicola Regional Cleve Randolph Field","Apalachicola","FL",,,
"AAH","Aachen Merzbrueck","Aachen","Germany",,,
"AAI","Arraias Airport","Arraias","Brazil",,,
"AAL","Aalborg Airport","Aalborg","Denmark",,,
"AAM","Malamala","Mala Mala","South Africa",,,
"AAN","Al Ain International","Al Ain","United Arab Emirates",,,
"AAO","Anaco Airport","Anaco","Venezuela",,,
"AAQ","Vityazevo","Anapa","Russia",,,
"AAR","Aarhus Airport","Aarhus","Denmark",,,
"AAU","Asau W Sam","Asau","Samoa",,,
"AAX","Romeu Zema","Araxa","Brazil",,,
"ABA","Abakan Airport","Abakan","Russia",,,
"ABD","Abadan Airport","Abadan","Iran",,,
"ABE","Lehigh Valley International","Allentown/Bethlehem/Easton","PA",,,
"ABI","Abilene Regional","Abilene","TX",,,
"ABJ","Felix Houphouet Boigny Abidjan International","Abidjan","Cote",,,
"ABK","Kebri Dahar","Kabri Dar","Ethiopia",,,
"ABL","Ambler River","Ambler","AK",,,
"ABQ","Albuquerque International Sunport","Albuquerque","NM",,,
"ABR","Aberdeen Regional","Aberdeen","SD",,,
"ABS","Abu Simbel Airport","Abu Simbel","Egypt",,,
"ABT","King Saud Bin Abdulaziz","Al-Baha","Saudi Arabia",,,
"ABV","Nnamdi Azikiwe International","Abuja","Nigeria",,,
"ABX","Albury Airport","Albury","Australia",,,
"ABY","Southwest Georgia Regional","Albany","GA",,,
"ABZ","Aberdeen Dyce","Aberdeen","United Kingdom",,,
"ACA","General Juan N Alvarez International","Acapulco","Mexico",,,
"ACB","Antrim County","Bellaire","MI",,,
"ACC","Accra Kotoka International","Accra","Ghana",,,
"ACE","Lanzarote","Arrecife","Spain",,,
"ACH","St Gallen Altenrhein","Altenrhein","Switzerland",,,
"ACI","Alderney Airport","Alderney","United Kingdom",,,
"ACK","Nantucket Memorial","Nantucket","MA",,,
"ACT","Waco Regional","Waco","TX",,,
"ACU","Achutupo Airport","Achutupo","Panama",,,
"ACV","California Redwood Coast Humboldt County","Arcata/Eureka","CA",,,
"ACY","Atlantic City International","Atlantic City","NJ",,,
"ADA","Adana International","Adana","Turkey",,,
"ADB","Adnan Menderes","Izmir","Turkey",,,
"ADC","Andakombe Airport","Andakombe","Papua New Guinea",,,
"ADD","Bole International","Addis Ababa","Ethiopia",,,
"ADE","Aden International","Aden","Yemen",,,
"ADJ","Marka International","Amman","Jordan",,,
"ADK","Adak","Adak Island","AK",,,
"ADL","Adelaide International","Adelaide","Australia",,,
"ADM","Ardmore Municipal","Ardmore","OK",,,
"ADN","Andes Airport","Andes","Colombia",,,
"ADO","Andamooka Airport","Andamooka","Australia",,,
"ADQ","Kodiak Airport","Kodiak","AK",,,
"ADS","Addison","Dallas","TX",,,
"ADT","Ada Regional","Ada","OK",,,
"ADW","Joint Base Andrews","Camp Springs","MD",,,
"ADX","RAF Leuchars","St Andrews","United Kingdom",,,
"ADZ","Gustavo Rojas Pinilla","San Andres Island","Colombia",,,
"AE1","Liwa Airbase","Liwa","United Arab Emirates",,,
"AE2","Sweihan Airbase","Sweihan","United Arab Emirates",,,
"AED","Aleneva Airport","Aleneva","AK",,,
"AEG","Aek Godang","Padang Sidempuan","Indonesia",,,
"AEH","Abeche Airport","Abeche","Chad",,,
"AEO","Aioun El Atrouss Airport","Aioun El Atrouss","Mauritania",,,
"AEP","Aeroparque Jorge Newbery","Buenos Aires","Argentina",,,
"AER","Adler/Sochi Airport","Adler/Sochi","Russia",,,
"AES","Vigra","Aalesund","Norway",,,
"AET","Allakaket Airport","Allakaket","AK",,,
"AEX","Alexandria International","Alexandria","LA",,,
"AEY","Akureyri Airport","Akureyri","Iceland",,,
"AF1","Bagram Air Base","Bagram","Afghanistan",,,
"AF2","Bastion Airfield","Lashkar Gah","Afghanistan",,,
"AF3","Dwyer Airport","Dwyer","Afghanistan",,,
"AF4","Shindand Airport","Shindand","Afghanistan",,,
"AFA","San Rafael Airport","San Rafael","Argentina",,,
"AFF","USAF Academy Airfield","Colorado Springs","CO",,,
"AFK","Nebraska City Municipal","Nebraska","NE",,,
"AFO","Afton Municipal","Afton","WY",,,
"AFP","Anson County Jeff Cloud Field","Wadesboro","NC",,,
"AFU","Al Udeid Air Base","Doha","Qatar",,,
"AFW","Fort Worth Alliance","Dallas/Fort Worth","TX",,,
"AFY","Afyon Airport","Afyon","Turkey",,,
"AGA","Inezgane","Agadir","Morocco",,,
"AGB","Augsburg Airport","Augsburg","Germany",,,
"AGC","Allegheny County","Pittsburgh","PA",,,
"AGF","Agen La Garenne","Agen","France",,,
"AGG","Angoram Airport","Angoram","Papua New Guinea",,,
"AGH","Angelholm","Angelholm/Helsingborg","Sweden",,,
"AGK","Kagua Airport","Kagua","Papua New Guinea",,,
"AGL","Wanigela Airport","Wanigela","Papua New Guinea",,,
"AGN","Angoon Seaplane Base","Angoon","AK",,,
"AGP","Malaga Airport","Malaga","Spain",,,
"AGQ","Agrinion Airport","Agrinion","Greece",,,
"AGR","Agra Airport","Agra","India",,,
"AGS","Augusta Regional at Bush Field","Augusta","GA",,,
"AGT","Guarani International","Ciudad del Este","Paraguay",,,
"AGU","Jesus Teran International","Aguascalientes","Mexico",,,
"AGV","Oswaldo Guevara Mujica","Acarigua","Venezuela",,,
"AGX","Agatti Island Airport","Agatti Island","India",,,
"AHA","Naha AB","Okinawa","Japan",,,
"AHB","Abha Airport","Abha","Saudi Arabia",,,
"AHD","Ardmore Downtown Executive","Ardmore","OK",,,
"AHN","Athens/Ben Epps","Athens","GA",,,
"AHO","Alghero","Alghero/Sassari","Italy",,,
"AHS","Auas","Ahuas","Honduras",,,
"AHT","Amchitka","Amchitka Island","AK",,,
"AHU","Cherif El Idrissi International","Al Hoceima","Morocco",,,
"AIA","Alliance Municipal","Alliance","NE",,,
"AIB","Anita Bay Airport","Anita Bay","AK",,,
"AID","Anderson Municipal-Darlington Field","Anderson","IN",,,
"AIK","Aiken Regional","Aiken","SC",,,
"AIN","Wainwright Airport","Wainwright","AK",,,
"AIO","Atlantic Municipal","Atlantic","IA",,,
"AIT","Aitutaki Airport","Aitutaki","Cook Islands",,,
"AIY","Bader Field","Atlantic City","NJ",,,
"AIZ","Lee C Fine Memorial","Lake of the Ozarks","MO",,,
"AJA","Ajaccio Napoleon Bonaparte","Ajaccio","France",,,
"AJF","Al Jouf","Jouf","Saudi Arabia",,,
"AJJ","Akjoujt Airport","Akjoujt","Mauritania",,,
"AJL","Lengpui","Aizwal","India",,,
"AJN","Ouani","Anjouan","Comoros",,,
"AJR","Arvidsjaur Airport","Arvidsjaur","Sweden",,,
"AJU","Santa Maria International","Aracaju","Brazil",,,
"AJY","Mano Dayak","Agades","Niger",,,
"AK1","Kelly Creek Airstrip","Seward Peninsula","AK",,,
"AK2","Bear Fish Camp Airport","Bear Fish Camp","AK",,,
"AK3","Gold King Creek","Fairbanks","AK",,,
"AK4","Squaw Lake Airport","Squaw Lake","AK",,,
"AK5","Qugruc Airport","Qugruc","AK",,,
"AK6","Gold King 2 Airport","Gold King 2","AK",,,
"AK7","Hunter Creek","Rampart","AK",,,
"AK8","Zips Airport","Zips","AK",,,
"AK9","Tolstoi Bay Airport","Tolstoi Bay","AK",,,
"AKB","Atka Airport","Atka","AK",,,
"AKC","Akron Fulton International","Akron","OH",,,
"AKF","Kufra","Kufrah","Libya",,,
"AKH","Prince Sultan AB","Al Kharj","Saudi Arabia",,,
"AKI","Akiak Airport","Akiak","AK",,,
"AKJ","Asahikawa Airport","Asahikawa","Japan",,,
"AKK","Akhiok Airport","Akhiok","AK",,,
"AKL","Auckland International","Auckland","New Zealand",,,
"AKN","King Salmon Airport","King Salmon","AK",,,
"AKO","Colorado Plains Regional","Akron","CO",,,
"AKP","Anaktuvuk Pass Airport","Anaktuvuk Pass","AK",,,
"AKR","Akure Airport","Akure","Nigeria",,,
"AKS","Auki Airport","Auki","Solomon Islands",,,
"AKT","Akrotiri Airport","Akrotiri","Cyprus",,,
"AKX","Aktyubinsk Airport","Aktyubinsk","Kazakhstan",,,
"AKY","Sittwe Airport","Sittwe","Burma",,,
"AL1","Albertville Regional-Thomas J Brumlik Field","Albertville","AL",,,
"AL2","Shelby County","Alabaster","AL",,,
"AL3","Huntsville Executive Tom Sharp Jr","Huntsville","AL",,,
"AL4","South Alabama Regional at Bill Benton Field","Andalusia/Opp","AL",,,
"AL5","Demopolis Regional","Demopolis","AL",,,
"AL6","H. L. Sonny Callahan","Fairhope","AL",,,
"AL7","Walker County Bevill Field","Jasper","AL",,,
"AL8","Scottsboro Municipal Word Field","Scottsboro","AL",,,
"AL9","Merkel Field Sylacauga Municipal","Sylacauga","AL",,,
"ALA","Almaty Airport","Almaty","Kazakhstan",,,
"ALB","Albany International","Albany","NY",,,
"ALC","Alicante Elche","Alicante","Spain",,,
"ALE","Alpine Casparis Municipal","Alpine","TX",,,
"ALF","Alta Airport","Alta","Norway",,,
"ALG","Houari Boumediene","Algiers","Algeria",,,
"ALH","Albany Airport","Albany","Australia",,,
"ALI","Alice International","Alice","TX",,,
"ALJ","Alexander Bay Airport","Alexander Bay","South Africa",,,
"ALK","Asela Airport","Asela","Ethiopia",,,
"ALM","Alamogordo White Sands Regional","Alamogordo","NM",,,
"ALN","St. Louis Regional","Alton","IL",,,
"ALO","Waterloo Regional","Waterloo","IA",,,
"ALP","Aleppo International","Aleppo","Syria",,,
"ALQ","Alegrete Airport","Alegrete","Brazil",,,
"ALR","Alexandra Airport","Alexandra","New Zealand",,,
"ALS","San Luis Valley Regional/Bergman Field","Alamosa","CO",,,
"ALT","Alenquer Airport","Alenquer","Brazil",,,
"ALU","Alula Airport","Alula","Somalia",,,
"ALW","Walla Walla Regional","Walla Walla","WA",,,
"ALX","Thomas C. Russell Field","Alexander City","AL",,,
"ALY","Alexandria International","Alexandria","Egypt",,,
"ALZ","Alitak Seaplane Base","Lazy Bay","AK",,,
"AMA","Rick Husband Amarillo International","Amarillo","TX",,,
"AMD","Ahmedabad International","Ahmedabad","India",,,
"AMF","Ama Airport","Ama","Papua New Guinea",,,
"AMG","Amboin Airport","Amboin","Papua New Guinea",,,
"AMH","Arba Minch Airport","Arba Minch","Ethiopia",,,
"AMI","Selaparang","Mataram","Indonesia",,,
"AMK","Animas Air Park","Durango","CO",,,
"AML","Puerto Armuelles Airport","Puerto Armuelles","Panama",,,
"AMM","Queen Alia International","Amman","Jordan",,,
"AMN","Gratiot Community","Alma","MI",,,
"AMO","Mao Airport","Mao","Chad",,,
"AMP","Ampanihy Airport","Ampanihy","Madagascar",,,
"AMQ","Pattimura","Ambon","Indonesia",,,
"AMS","Schiphol","Amsterdam","Netherlands",,,
"AMW","Ames Municipal","Ames","IA",,,
"AMX","Ammaroo Station","Ammaroo","Australia",,,
"AMY","Ambatomainty Airport","Ambatomainty","Madagascar",,,
"ANA","Anaheim-Disneyland HP","Anaheim","CA",,,
"ANB","Anniston Regional","Anniston","AL",,,
"ANC","Ted Stevens Anchorage International","Anchorage","AK",,,
"AND","Anderson Regional","Anderson","SC",,,
"ANE","Angers Marce","Angers","France",,,
"ANF","Andres Sabella International","Antofagasta","Chile",,,
"ANG","Angouleme Brie Champniers","Angouleme","France",,,
"ANI","Aniak Airport","Aniak","AK",,,
"ANK","Etimesgut","Ankara","Turkey",,,
