2019-10-14 22:50:26,743 WARN  [main] util.NativeCodeLoader (NativeCodeLoader.java:<clinit>(60)) - Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
"02Q","Titan Airways"
"04Q","Tradewind Aviation"
"05Q","Comlux Aviation, AG"
"06Q","Master Top Linhas Aereas Ltd."
"07Q","Flair Airlines Ltd."
"09Q","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern"
"0BQ","DCA"
"0CQ","ACM AIR CHARTER GmbH"
"0FQ","Maine Aviation Aircraft Charter, LLC"
"0GQ","Inter Island Airways, d/b/a Inter Island Air"
"0HQ","Polar Airlines de Mexico d/b/a Nova Air"
"0J","JetClub AG"
"0JQ","Vision Airlines"
"0LQ","Metropix UK, LLP."
"0MQ","Multi-Aero, Inc. d/b/a Air Choice One"
"0OQ","Open Skies"
"0Q","Flying Service N.V."
"0QQ","TAG Aviation (UK) Ltd."
"0RQ","TAG Aviation Espana S.L."
"0TQ","Corporatejets, XXI"
"0UQ","Comlux Malta, Ltd."
"0VQ","Ocean Sky (UK) Limited"
"0WQ","Avjet Corporation"
"0YQ","Comlux Malta Ltd."
"10Q","Swiss Air Ambulance"
"12Q","Unijet"
"13Q","Chartright Air Inc."
"14Q","London Air Services Limited"
"15Q","Air Alsie A/S"
"17Q","Albinati Aeronautics SA"
"1AQ","Via Airlines d/b/a Charter Air Transport"
"1BQ","Eastern Airlines f/k/a Dynamic Airways, LLC"
"1DQ","Island Airlines LLC"
"1EQ","KaiserAir, Inc."
"1FQ","Alsek Air"
"1HQ","International Jet Management GmbH"
"1I","Sky Trek International Airlines"
"1IQ","Jet link AG"
"1JQ","Exec Direct Aviation Services Limited"
"1LQ","Bertelsmann Aviation GmbH"
"1MQ","Twin Cities Air Service LLC"
"1NQ","JSC The 224th Flight Unit State Airlines"
"1PQ","Makani Kai Air Charters"
"1QQ","City Wings Inc dba Seaflight"
"1RQ","Sun Air Express LLC dba Sun Air International"
"1SQ","Star Marianas Air Inc."
"1TQ","Rhoades Aviation dba Transair"
"1UQ","Gainjet Aviation SA"
"1WQ","Ultimate JetCharters LLC dba Ultimate Air Shuttle"
"1XQ","Dassault Falcon Service"
"1YQ","Air Charter, Inc d/b/a Air Flamenco"
"1ZQ","Comlux Aruba NV"
"20Q","Orange Air"
"22Q","Gem Air LLC"
"23Q","Songbird Airways Inc."
"24Q","Blue Jet SP Z o o"
"25Q","Mjet GmbH"
"26Q","Albinati aviation Limited"
"27Q","Jet Aviation Flight Services, Inc."
"28Q","Menagerie Enterprises Inc d/b/a Monarch Air"
"29Q","Erickson Helicopters"
"2AQ","ABS JETS A.S"
"2BQ","Air Medical Ltd."
"2E","Smokey Bay Air Inc."
"2EQ","J&M Alaska Air Tours, Inc. d/b/a Alaska Air Transit"
"2F","Frontier Flying Service"
"2GQ","Cavok Air LLC"
"2HQ","Elite Airways LLC"
"2JQ","Delux Public Charter LLC"
"2K","Aerolineas Galapagos S A Aerogal"
"2KQ","Longtail Aviation Ltd."
"2LQ","Tropic Ocean Airways LLC"
"2M","Midway Express Airlines"
"2NQ","LIMA NY Corp d/b/a Fly The Whale d/b/a Tailwind"
"2O","Island Air Service"
"2OQ","Talofa Airways Limited"
"2P","Air Philippines Corp d/b/a Airphil Express, Philippines Airlines"
"2PQ","21 Air LLC"
"2R","Regal Air"
"2RQ","Luxaviation S A"
"2T","Canada 3000 Airlines Ltd."
"2TQ","Trans Northern Airways d/b/a Air Unlimited Charter Services"
"2U","Valley Air Express Inc."
"2UQ","Svenskt Industriflyg AB"
"30Q","Public Charters, Inc. d/b/a North Country Sky d/b/a Regional Sky d/b/a Texas Sky"
"34Q","Polaris Aviation Solutions, LLC"
"35Q","Aztec Worldwide Airlines, Inc.  d/b/a  Aztec Airways"
"36Q","Air Hamburg Luftverkehrsgesellschaft mbH"
"37","Zeal 320"
"37Q","Hillwood Airways, LLC  f/k/a   ATX Air Services, LLC"
"38Q","Key Lime Air Corporation"
"3AA","Airgate Aviation, Inc."
"3AQ","Maritime Helicopters, Inc."
"3BQ","Nealco Air Charter Services, Inc.  d/b/a  Watermakers Air"
"3C","Regions Air, Inc."
"3CQ","Andrew Airways, Inc."
"3DQ","Rectrix Aviation, Inc."
"3EQ","Scott Aviation, LLC  d/b/a  Silver Air"
"3F","Pacific Airways, Inc."
"3FQ","Western Air Charter, Inc.  d/b/a  Jet Edge"
"3M","Silver Airways"
"3S","AeroLogic GmbH"
"3SD","Compagnie Aerienne Inter Regionale Express dba Air Antilles Express & Air Guyane"
"3U","Sichuan Airlines Co Ltd."
"4B","Boutique Air"
"4B (1)","Olson Air Service"
"4C","Aerovias de Intergracian Regional"
"4E","British Airtours Limited"
"4H","Belize Trans Air"
"4M","LAN Argentina"
"4M (1)","Lan Dominica"
"4N","Air North"
"4O","ABC Aerolineas SA de CV dba Interjet"
"4R","Regent Air Corporation"
"4S","Sol Air (Aero Hunduras)"
"4S (1)","Conner Air Lines Inc."
"4T","Belair Airlines Ltd."
"4W","Warbelow"
"4Y","Yute Air Aka Flight Alaska"
"5B","Bellair Inc."
"5C","C.A.L Cargo Airlines"
"5D","Aerolitoral"
"5F","Arctic Circle Air Service"
"5G","Skyservice Airlines, Inc."
"5G (1)","Queen Air"
"5J","Cebu Air Inc d/b/a Cebu Pacific Air"
"5J (1)","Private Jet Expeditions"
"5L","Aerosur"
"5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo"
"5X","United Parcel Service"
"5Y","Atlas Air Inc."
"6A","Aviacsa Airlines"
"6B","TUIfly Nordic A.B."
"6C","Cape Smythe Air Service"
"6F","Laker Airways Inc."
"6H","Israir Airlines"
"6P","Pacific East Air Inc."
"6R","Aerounion Aerotransporte de Carga Union SA de CV"
"6U","Air Ukraine"
"6Y","Nicaraguense De Aviacion Sa"
"7B","Krasair"
"7C","Jeju Air Co Ltd."
"7F","First Air"
"7G","MK Airlines Ltd."
"7G (1)","Bellair Inc. (1)"
"7H","Corvus Airlines, Inc d/b/a Era Aviation d/b/a Ravn Alaska"
"7I","Insel Air International B V"
"7L","Silk Way West Airlines"
"7M","Aeromonterrey S.A."
"7N","Inland Aviation Services"
"7P","Apa International Air S.A."
"7Q","Pan American World Airways Dominicana"
"7S","Ryan Air f/k/a Arctic Transportation"
"7S (1)","Skystar International Inc."
"7Z","Lb Limited"
"8C","Air Transport International"
"8D","Dynamic Aviation, Inc. d/b/a Beacon"
"8E","Bering Air Inc."
"8F","Wilburs Inc."
"8I","Inselair Aruba NV"
"8J","Jetall Airways"
"8L","Servicio Aereo Leo Lopez"
"8N","Flagship Airlines Inc."
"8Q","Baker Aviation Inc."
"8R","Edelweiss Air Ag"
"8V","Wright Air Service"
"9E","Endeavor Air Inc."
"9J","Pacific Island Aviation"
"9K","Cape Air"
"9L","Colgan Air"
"9M","Central Mountain Air"
"9N","ANA & JP Express Co. Ltd."
"9R","Flagship Express Services"
"9S","Southern Air Inc."
"9T","TravelspanGT, Inc. S.A."
"9V","Avior Airlines, C.A."
"9W","Jet Airways (India) Limited"
"A0","Elysair d/b/a L'Avion"
"A2","Cielos De Peru"
"A4","Southern Wind Airlines"
"A7","Air Comet S.A."
"A7 (1)","Air 21"
"AA","American Airlines Inc."
"AAA","Associated Aviation Act."
"AAB","Abelag Aviation AG"
"AAB (1)","Antilles Air Boats Inc."
"AAE","AAA Airlines"
"AAI","Audi Air Inc."
"AAL","Argosy Air Lines Inc."
"AAP","Armstrong Air Service Inc."
"AAQ","Advance Air Charters"
"AAR","Altair Airlines Inc."
"AAT","Air Sunshine Inc."
"AAV","Alpine Air"
"AAZ","Alaska Aeronautical Indust."
"AB","Air Berlin PLC and CO"
"ABH","Air Bahia"
"ABI","Airbama Incorporated"
"ABO","Aeronaves Boringuena Inc."
"ABX","ABX Air Inc"
"AC","Air Canada"
"ACA","Alaska Central Airways Inc."
"ACD","Academy Airlines"
"ACG","Air Cargo Express Inc."
"ACH","Island Airlines Hawaii Inc."
"ACI","AAA-Action Air Carrier Inc."
"ACJ","Atlantic Coast Jet Inc."
"ACK","Air Central Inc."
"ACL","Check-Air Inc."
"ACN","Alliance Airlines"
"ACO","Air Cargo Enterprises Inc."
"ACP","Air Chaparral Inc."
"ACQ","Aeronautica De Cancun"
"ACS","Alamo Commuter Airlines"
"ACT","Air Central Inc. (1)"
"ACW","Transwest Air Express"
"AD","Azul Linhas Aereas Brazileiras S A"
"AD (1)","Avia Leasing Company"
"ADB","Antonov Company"
"ADQ","Aeronaves Del Peru"
"ADR","Adirondack Airlines"
"ADV","Advantage Airlines"
"AE","Air Europe Limited"
"AEC","Astec Air East Inc."
"AED","Air East Of Delaware Inc."
"AEF","Aero Freight"
"AEO","Aero Coach"
"AEQ","Air Caravane Inc."
"AEX","Air Excursions LLC (1)"
"AF","Compagnie Natl Air France"
"AFA","American Flag Airlines Inc."
"AFE","Air Florida Express"
"AFG","American Flight Group"
"AFQ","Aero B Venezuela C.A."
"AFS","Arcata Flying Service"
"AG","Arubaanse Luchtvaart Maatschappij NV dba Aruba Airlines"
"AGA","Air Cargo America Inc."
"AGQ","Argo S. A."
"AHA","Air Alpha"
"AHC","Air Hawaii"
"AHQ","Air National"
"AI","National Aviation Company of India Limited d/b/a Air India"
"AIA","All Island Air"
"AIC","Air Caribbean"
"AIE","Air Express Inc."
"AIG","Airgo Inc."
"AIK","Air Ketchum Idaho Inc."
"AIM","Air Mont. Inc."
"AIN","Air Indiana"
"AIQ","Norontair"
"AIT","Airways International"
"AIY","Alliance Air"
"AJ","Air Micronesia Inc."
"AJQ","Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways"
"AKQ","Airmark Airlines Inc."
"AL","Skyway Airlines"
"ALD","Allied Airlines"
"ALE","Air-Lift Associates Inc."
"ALI","Brandt Air"
"ALK","Air Link Airways"
"ALL","All Seasons Air Pacific"
"ALQ","Alberta Northern Airlines"
"ALS","Air L.A."
"ALT","Altus Airlines"
"ALU","Aleutian Air"
"ALX","Atlanta Express"
"AM","Aeromexico"
"AMA","North American Airlines Inc."
"AME","Americair Inc."
"AMI","American Inter-Island Inc."
"AMQ","Ameristar Air Cargo"
"AMR","AvAir"
"AMT","American Air Transport"
"AN","ADVANCED AIR, LLC"
"ANB","Air Nebraska Inc."
"ANC","Atlantic Air"
"AND","Southcentral Air Inc."
"ANI","Dash Air Corporation"
"ANM","Airways Of New Mexico Inc."
"ANO","Metro Air Northeast Vermont"
"ANT","Air North/Nenana"
"AO","Aviacion Y Comercio S.A."
"AOI","Trans New York"
"AON","Action Airlines"
"AOQ","Aerovias S.A."
"AOR","Air New Orleans"
"APE","Air Cape"
"APH","Alpha Air"
"API","Arizona Pacific Inc."
"APL","Appalachian Flying Service"
"APN","Aspen Airways Inc."
"APQ","Alas De Transporte International"
"APS","Air Spirit Inc."
"APY","Air Polynesia Inc."
"AQ","Aloha Airlines Inc."
"AQQ","Air Charter (Safa)"
"AR","Aerolineas Argentinas"
"ARA","Air Resorts Airlines"
"ARB","Air Caribe International"
"ARD","Airlift International"
"ARI","Arizona Aero Corp."
"ARM","Airmarc Airlines Inc."
"ARN","Arnold Aviation"
"ARO","Air Oregon"
"ARP","Airspur Helicopters Inc."
"ARQ","Aerovias Colombianas Arca"
"ARR","Arrowhead Airways Inc."
"ARS","Air Sedona"
"ARZ","Arizona Airways"
"AS","Alaska Airlines Inc."
"ASC","Air South Inc."
"ASD","Amistad Airlines"
"ASH","Air South"
"ASI","Alpine Air Services Inc."
"ASN","Air Casino"
"ASP","Asap Air Inc."
"ASQ","Aerosur (1)"
"ASR","Astor Air"
"AST","Astro Airways"
"ASU","Air South (1)"
"ASW","Sunrise Airlines Inc."
"AT","Royal Air Maroc"
"ATH","Air Southeast"
"ATN","Air Atlantic Airlines Inc."
"ATO","Pacific National Airways"
"ATQ","Aero Tranportes Panamenos"
"ATS","Atlantis Airlines Inc."
"ATT","Aerotransit Inc."
"ATX","Air Carolina"
"AUX","Austin Express Inc."
"AV","Aerovias Nacl De Colombia"
"AVA","Air Vectors Airways"
"AVC","Av Center Inc."
"AVG","Airvantage"
"AVI","Aero Virgin Islands Corp."
"AVL","Aviation Sales"
"AVQ","Aero Laguna S.A. De C.V."
"AVR","Air Vermont Inc."
"AVS","Aviation Services"
"AVZ","Southern Jersey Airways"
"AWA","Air West Airlines"
"AWQ","Aermediterranea S.P.A."
"AX","Trans States Airlines"
"AXQ","Aeron International Airlines Inc."
"AY","Finnair Oy"
"AYQ","Aerodan S.A. De C.V."
"AZ","Compagnia Aerea Italiana"
"AZP","Arizona Pacific Airways"
"AZQ","Anglo Airlines Ltd."
"B0","Dreamjet SAS Dba La Compagnie"
"B6","JetBlue Airways"
"BA","British Airways Plc"
"BAA","Aero International Airlines"
"BAC","Business Aircraft Corp."
"BAH","Brennan & Hargreaves Inc."
"BAK","Bankair Inc."
"BAN","Bangor International Air"
"BAQ","Aero Rentas De Coahuila S.A. De C.V."
"BAR","Bard-Air Corp."
"BAT","West Penn Commuter"
"BAY","Burlington Aeroplane Co."
"BBQ","Balair Ag"
"BC","Skymark Airlines Inc."
"BCA","Baja Cortez Airlines"
"BCQ","Bradley Air Services Ltd."
"BD","British Midland Airways Ltd."
"BDE","Jet Express"
"BDQ","Aerotaxis De Aguascalientes S.A. De C.V."
"BE","Braniff International Airlines Inc."
"BEA","Business Express Airlines"
"BEN","Bennington Aviation Inc."
"BEQ","Air Belgium"
"BES","Aeroservices Executive"
"BEY","Beyer Aviation"
"BF","French bee"
"BF (1)","Markair Inc."
"BFG","Million Air"
"BFQ","Buffalo Airways Inc."
"BG","Biman Bangladesh Airlines"
"BGQ","Airbus Transport Internat'l"
"BHK","Blackhawk Airways Inc."
"BHO","Bighorn Airways Inc."
"BHQ","Turks Air Ltd. (1)"
"BIA","Big Island Air"
"BIQ","Servicios Aeronauticos Z S.A. De C.V."
"BIR","Birchwood Air Service"
"BJQ","Taxirey S.A. De C.V."
"BLQ","Air Bvi Limited"
"BM","Belize Air International Ltd."
"BMT","Bremerton Aviation Inc."
"BN","Britannia Airways GmbH"
"BN (1)","Braniff Inc."
"BNQ","NetJets Large Aircraft Company L.L.C."
"BOA","Boise Air Service"
"BOI","Bo-S-Aire Airlines Inc."
"BOQ","Transp. Aereos Bolivianos"
"BQ","Aeromar C. Por A."
"BR","Eva Airways Corporation"
"BR (1)","Cal Air International Ltd."
"BRK","Barken International"
"BRO","Brower Airways Inc."
"BRW","Barrow Air"
"BTQ","Brasair Transportes Aereos"
"BUH","Business Helicopters"
"BUQ","Wrangler Aviation Inc."
"BUQ (1)","Blue Bell Inc."
"BUR","Burlington Airways Inc."
"BW","Caribbean Airlines Limited"
"BX","Air Busan"
"BXQ","Spantax S. A."
"BY","Britannia Airways Ltd."
"BYA","Bay Air"
"BZQ","Abaco Air, Ltd."
"C5","Commutair Aka Champlain Enterprises, Inc."
"C6","Canjet Airlines"
"C8","Cargolux Italia SpA"
"C8 (1)","Chicago Express Airlines"
"CA","Air China"
"CAC","Coleman Air Transport"
"CAF","California Seaboard"
"CAI","Crawford Aviation Inc."
"CAM","C & M Airlines"
"CAP","Metro Air Northeast N Y"
"CAQ","Challenge Air Luftverkehrs GmbH"
"CAT","Catalina Airlines Inc."
"CAV","Air Virginia"
"CAZ","CAT Aviation"
"CB","Air One Inc."
"CBA","Carriba Air Inc."
"CC","Air Atlanta Icelandic"
"CC (1)","Air Atlanta Inc."
"CCA","Cityhop"
"CCO","Chester County Aviation"
"CDQ","Kitty Hawk International"
"CEN","Cen-Tex Airlines Inc."
"CEQ","All Canada Express"
"CET","Century Airlines (Cal)"
"CF","Compan. De Aviacion Faucett"
"CGA","Chicago Airlines"
"CGL","Viking International Airlines Inc."
"CGO","Chicago Air Taxi"
"CH","Bemidji Airlines"
"CHD","Chandler Flyer"
"CHE","Charter Airlines"
"CHF","Hammonds Commuter Air Serv."
"CHI","Chitina Air Service"
"CHL","Channel Flying Inc."
"CHO","Choi Aviation Inc."
"CHS","Christman Air System"
"CHT","Charter One"
"CI","China Airlines Ltd."
"CIQ","A/S Conair"
"CIS","Cal Sierra Airlines"
"CJ","Colgan Airways Inc."
"CK","China Cargo Airline"
"CKI","Inlet Airlines"
"CL","Capitol International Inc."
"CLB","Columbia Pacific Airlines"
"CLD","Hawaii Pacific Helicopters"
"CLF","California Air Shuttle"
"CLQ","Aero Transcolombiana"
"CM","Compania Panamena (Copa)"
"CMB","Combs Airways Inc."
"CMD","Command Airways Inc."
"CMQ","Servicio De Carga Aerea Sa"
"CMR","Commuter Airlines (Ca)"
"CNN","Centennial Airlines"
"CO","Continental Air Lines Inc."
"COB","Cotton Belt Aviation Inc."
"COC","Cochise Airlines Inc."
"COK","Coker Aviation Inc."
"COL","Presidential Express"
"COM","Commutair"
"COR","Coral Air Inc."
"COS","Cosmopolitan Comm. Airline"
"COT","Southeastern Commuter"
"COU","Courtesy Air Service Inc."
"CP","Compass Airlines"
"CP (1)","Canadian Airlines International Ltd."
"CPA","Capitol Air Lines"
"CPC","Coastal Plains Commuter Inc."
"CPQ","Capitol Air Express Inc."
"CPT","Capitol Air"
"CQI","Conquest Airline Corp."
"CRA","Commuter Airlines"
"CRB","Caribair"
"CRE","Caribbean Express Inc."
